step,altitude,x_vel,y_vib,angle,fuel,reward,thrust,gimbal,cum_reward
99,79.49005,9.819938,-0.52708185,0.0,1000.0,13.948149,-0.26818046,0.0,3760.2817
100,69.68005,9.819938,-0.52708185,0.0,1000.0,13.457649,-0.26818046,0.0,3773.7395
101,59.870052,9.819938,-0.52708185,0.0,1000.0,12.967149,-0.26818046,0.0,3786.7065
102,50.06005,9.819938,-0.52708185,0.0,1000.0,12.476648,-0.26818043,0.0,3799.183
103,40.25005,9.819938,-0.52708185,0.0,1000.0,11.986149,-0.26818043,0.0,3811.1692
104,30.440048,9.819938,-0.52708185,0.0,1000.0,11.495648,-0.2681805,0.0,3822.6648
105,20.630047,9.819938,-0.52708185,0.0,1000.0,11.005148,-0.2681812,0.0,3833.67
106,10.820046,9.819938,-0.52708185,0.0,1000.0,10.514648,-0.2682204,0.0,3844.1846
107,1.010046,9.819938,-0.52708185,0.0,1000.0,10.024148,-0.2694233,0.0,3854.2087
108,0.0,9.819938,-0.52708185,0.0,1000.0,-40.026356,-0.2500743,0.0,3814.1824
